Time,Indoor Temperature(℉),Indoor Humidity(%),Outdoor Temperature(℉),Outdoor Humidity(%),Dew Point(℉),Feels Like(℉),Wind(mph),Gust(mph),Wind Direction(°),ABS Pressure(inhg),REL Pressure(inhg),Solar Rad.(w/m2),UVI,Hourly Rain(in),Event Rain(in),Daily Rain(in),Weekly Rain(in),Monthly Rain(in),Yearly Rain(in),Pm2.5(ug/m3)
2023/6/30 9:55,74.8,64,73.4,75,65.1,73.4,2.9,4.5,252,28.86,28.86,426.1,4,0.00,0.00,0.00,0.36,0.56,0.56,12
2023/6/30 9:56,75.0,64,73.2,76,65.1,73.2,4.3,5.8,319,28.86,28.86,425.0,4,0.00,0.00,0.00,0.36,0.56,0.56,12
2023/6/30 9:57,75.0,64,73.4,76,65.3,73.4,0.7,1.1,47,28.85,28.85,424.0,4,0.00,0.00,0.00,0.36,0.56,0.56,10
2023/6/30 9:58,75.0,64,73.8,75,65.5,73.8,2.7,3.4,205,28.85,28.85,430.5,4,0.00,0.00,0.00,0.36,0.56,0.56,10
2023/6/30 9:59,75.0,63,74.1,75,65.8,74.1,2.5,3.4,325,28.86,28.86,439.9,4,0.00,0.00,0.00,0.36,0.56,0.56,10
2023/6/30 10:00,75.0,63,74.3,74,65.5,74.3,3.4,4.5,205,28.85,28.85,434.5,4,0.00,0.00,0.00,0.36,0.56,0.56,10
2023/6/30 10:01,75.0,63,74.3,74,65.5,74.3,3.8,6.9,185,28.85,28.85,439.2,4,0.00,0.00,0.00,0.36,0.56,0.56,10
2023/6/30 10:02,75.0,62,74.1,73,64.9,74.1,4.7,5.8,202,28.85,28.85,440.7,4,0.00,0.00,0.00,0.36,0.56,0.56,10
2023/6/30 10:03,75.0,63,73.9,74,65.1,73.9,6.0,8.1,227,28.85,28.85,450.1,4,0.00,0.00,0.00,0.36,0.56,0.56,10
2023/6/30 10:04,75.0,64,73.6,75,65.3,73.6,2.9,4.5,302,28.85,28.85,461.3,4,0.00,0.00,0.00,0.36,0.56,0.56,10
2023/6/30 10:05,75.0,64,73.4,76,65.3,73.4,4.7,6.9,160,28.85,28.85,460.1,4,0.00,0.00,0.00,0.36,0.56,0.56,10
2023/6/30 10:06,75.0,65,73.4,75,65.1,73.4,3.6,4.5,191,28.85,28.85,464.7,4,0.00,0.00,0.00,0.36,0.56,0.56,10
2023/6/30 10:07,75.0,65,73.6,75,65.3,73.6,4.0,4.5,268,28.85,28.85,470.0,4,0.00,0.00,0.00,0.36,0.56,0.56,9
2023/6/30 10:08,75.0,65,73.8,75,65.5,73.8,1.8,2.2,222,28.86,28.86,467.2,4,0.00,0.00,0.00,0.36,0.56,0.56,9
2023/6/30 10:09,75.0,65,74.1,75,65.8,74.1,0.7,1.1,302,28.85,28.85,468.1,4,0.00,0.00,0.00,0.36,0.56,0.56,9
2023/6/30 10:10,75.0,65,74.7,74,65.8,74.7,1.8,2.2,298,28.85,28.85,465.3,4,0.00,0.00,0.00,0.36,0.56,0.56,9
2023/6/30 10:11,75.0,65,75.2,74,66.4,75.2,2.5,3.4,347,28.85,28.85,471.7,4,0.00,0.00,0.00,0.36,0.56,0.56,9
2023/6/30 10:12,75.2,65,75.6,73,66.4,75.6,3.1,4.5,287,28.85,28.85,474.8,4,0.00,0.00,0.00,0.36,0.56,0.56,9
2023/6/30 10:13,75.2,65,75.6,72,65.8,75.6,2.9,4.5,300,28.85,28.85,476.9,4,0.00,0.00,0.00,0.36,0.56,0.56,9
2023/6/30 10:14,75.2,65,75.4,74,66.6,75.4,3.4,5.8,271,28.85,28.85,481.4,4,0.00,0.00,0.00,0.36,0.56,0.56,9
2023/6/30 10:15,75.2,65,74.8,73,65.7,74.8,2.2,2.2,253,28.86,28.86,448.3,4,0.00,0.00,0.00,0.36,0.56,0.56,9
2023/6/30 10:16,75.2,65,74.8,76,66.7,74.8,0.9,1.1,253,28.86,28.86,494.4,4,0.00,0.00,0.00,0.36,0.56,0.56,9
2023/6/30 10:17,75.2,65,75.2,74,66.4,75.2,1.3,2.2,219,28.86,28.86,442.8,4,0.00,0.00,0.00,0.36,0.56,0.56,12
2023/6/30 10:18,75.2,64,75.6,74,66.7,75.6,4.5,5.8,268,28.86,28.86,524.3,5,0.00,0.00,0.00,0.36,0.56,0.56,12
2023/6/30 10:19,75.2,64,75.6,74,66.7,75.6,2.9,4.5,334,28.85,28.85,520.8,5,0.00,0.00,0.00,0.36,0.56,0.56,12
2023/6/30 10:20,75.2,63,75.4,72,65.7,75.4,3.1,5.8,147,28.85,28.85,539.5,5,0.00,0.00,0.00,0.36,0.56,0.56,12
2023/6/30 10:21,75.2,63,75.4,71,65.3,75.4,2.9,3.4,238,28.85,28.85,538.7,5,0.00,0.00,0.00,0.36,0.56,0.56,12
2023/6/30 10:22,75.2,63,75.4,71,65.3,75.4,3.4,4.5,195,28.85,28.85,540.3,5,0.00,0.00,0.00,0.36,0.56,0.56,12
2023/6/30 10:23,75.2,63,75.4,71,65.3,75.4,5.1,6.9,270,28.85,28.85,506.2,4,0.00,0.00,0.00,0.36,0.56,0.56,12
2023/6/30 10:24,75.0,63,75.4,73,66.2,75.4,4.0,4.5,265,28.85,28.85,559.6,5,0.00,0.00,0.00,0.36,0.56,0.56,12
2023/6/30 10:25,75.0,64,75.6,71,65.5,75.6,7.6,11.4,278,28.85,28.85,265.2,2,0.00,0.00,0.00,0.36,0.56,0.56,12
2023/6/30 10:26,75.0,65,75.4,72,65.7,75.4,1.3,2.2,208,28.86,28.86,525.1,5,0.00,0.00,0.00,0.36,0.56,0.56,12
2023/6/30 10:27,75.0,65,75.6,73,66.4,75.6,2.0,2.2,272,28.85,28.85,524.2,5,0.00,0.00,0.00,0.36,0.56,0.56,11
