Time,Indoor Temperature(℉),Indoor Humidity(%),Outdoor Temperature(℉),Outdoor Humidity(%),Dew Point(℉),Feels Like(℉),Wind(mph),Gust(mph),Wind Direction(°),ABS Pressure(mmhg),REL Pressure(mmhg),Solar Rad.(w/m2),UVI,Hourly Rain(in),Event Rain(in),Daily Rain(in),Weekly Rain(in),Monthly Rain(in),Yearly Rain(in),Pm2.5(ug/m3)
2023/6/25 12:10,75.6,64,81.3,57,64.8,82.9,0.7,1.1,56,729.4,729.4,714.9,6,0.00,0.00,0.00,0.00,0.20,0.20,--
2023/6/25 12:15,75.6,67,82.6,56,65.3,84.6,1.8,2.2,56,729.2,729.2,743.8,7,0.00,0.00,0.00,0.00,0.20,0.20,--
2023/6/25 12:20,75.7,68,83.3,58,67.1,85.8,0.7,1.1,65,729.2,729.2,757.4,7,0.00,0.00,0.00,0.00,0.20,0.20,--
2023/6/25 12:25,75.7,65,83.5,52,64.0,84.7,5.4,8.1,70,729.0,729.0,751.9,7,0.00,0.00,0.00,0.00,0.20,0.20,--
2023/6/25 12:30,75.7,65,82.9,56,65.7,84.9,1.8,3.4,33,728.9,728.9,772.8,7,0.00,0.00,0.00,0.00,0.20,0.20,--
2023/6/25 12:35,75.9,67,82.4,54,64.0,83.8,0.2,1.1,67,728.9,728.9,769.0,7,0.00,0.00,0.00,0.00,0.20,0.20,--
2023/6/25 12:40,76.1,68,82.4,58,66.2,84.6,1.1,1.1,73,728.8,728.8,577.8,5,0.00,0.00,0.00,0.00,0.20,0.20,--
2023/6/25 12:45,76.1,64,83.7,57,66.9,86.4,0.0,0.0,87,728.8,728.8,248.3,2,0.00,0.00,0.00,0.00,0.20,0.20,--
2023/6/25 12:50,76.1,66,82.6,53,63.7,83.8,2.2,3.4,73,728.7,728.7,788.4,7,0.00,0.00,0.00,0.00,0.20,0.20,--
2023/6/25 12:55,76.3,67,82.8,53,63.9,84.2,5.1,5.8,111,728.5,728.5,764.3,7,0.00,0.00,0.00,0.00,0.20,0.20,--
2023/6/25 13:00,76.3,65,83.3,55,65.5,85.3,1.3,2.2,58,728.3,728.3,781.8,7,0.00,0.00,0.00,0.00,0.20,0.20,--
2023/6/25 13:05,76.3,63,83.8,56,66.6,86.2,2.0,2.2,50,728.2,728.2,762.6,7,0.00,0.00,0.00,0.00,0.20,0.20,--
2023/6/25 13:10,76.3,66,84.2,53,65.3,86.0,2.9,3.4,57,728.3,728.3,762.2,7,0.00,0.00,0.00,0.00,0.20,0.20,--
2023/6/25 13:15,76.5,67,84.6,53,65.7,86.5,1.1,1.1,98,728.2,728.2,747.0,7,0.00,0.00,0.00,0.00,0.20,0.20,--
2023/6/25 13:20,76.6,64,83.8,52,64.4,85.3,1.3,2.2,72,728.2,728.2,766.4,7,0.00,0.00,0.00,0.00,0.20,0.20,--
2023/6/25 13:25,76.6,63,84.7,52,65.3,86.5,1.8,2.2,58,728.1,728.1,789.0,7,0.00,0.00,0.00,0.00,0.20,0.20,--
2023/6/25 13:30,76.5,62,85.5,52,65.8,87.6,1.6,2.2,72,728.2,728.2,795.8,7,0.00,0.00,0.00,0.00,0.20,0.20,--
2023/6/25 13:35,76.6,65,84.7,49,63.5,85.8,3.4,3.4,55,727.9,727.9,816.5,7,0.00,0.00,0.00,0.00,0.20,0.20,--
2023/6/25 13:40,76.6,62,84.7,50,64.0,86.0,3.4,6.9,116,728.2,728.2,799.4,7,0.00,0.00,0.00,0.00,0.20,0.20,--
2023/6/25 13:45,76.6,62,83.8,55,66.0,85.8,1.1,2.2,80,727.9,727.9,858.1,8,0.00,0.00,0.00,0.00,0.20,0.20,--
2023/6/25 13:50,76.6,64,84.4,52,64.9,86.2,4.0,6.9,269,727.9,727.9,865.7,8,0.00,0.00,0.00,0.00,0.20,0.20,--
2023/6/25 13:55,76.8,63,85.3,50,64.6,86.7,1.8,2.2,356,727.8,727.8,862.4,8,0.00,0.00,0.00,0.00,0.20,0.20,--
2023/6/25 14:00,76.8,61,85.8,50,65.1,87.6,1.3,2.2,64,727.8,727.8,704.5,6,0.00,0.00,0.00,0.00,0.20,0.20,--
2023/6/25 14:05,76.8,61,85.8,58,69.4,90.0,0.9,1.1,36,727.8,727.8,864.4,8,0.00,0.00,0.00,0.00,0.20,0.20,--
2023/6/25 14:10,76.8,62,85.5,51,65.3,87.4,2.9,3.4,124,727.9,727.9,530.7,5,0.00,0.00,0.00,0.00,0.20,0.20,--
2023/6/25 14:15,77.0,63,84.7,51,64.8,86.2,1.3,2.2,64,727.9,727.9,204.7,1,0.00,0.00,0.00,0.00,0.20,0.20,--
2023/6/25 14:20,77.0,61,83.5,52,64.0,84.7,3.6,4.5,321,727.9,727.9,264.5,2,0.00,0.00,0.00,0.00,0.20,0.20,--
2023/6/25 14:25,77.0,60,82.9,52,63.5,84.0,2.0,3.4,138,727.9,727.9,295.7,2,0.00,0.00,0.00,0.00,0.20,0.20,--
2023/6/25 14:30,77.2,63,83.8,55,66.0,85.8,0.9,1.1,49,727.8,727.8,872.7,8,0.00,0.00,0.00,0.00,0.20,0.20,--
2023/6/25 14:35,77.4,63,85.8,47,63.3,86.7,1.8,2.2,61,727.9,727.9,838.7,8,0.00,0.00,0.00,0.00,0.20,0.20,--
2023/6/25 14:40,77.4,60,84.0,51,64.0,85.3,1.1,1.1,113,727.8,727.8,805.2,7,0.00,0.00,0.00,0.00,0.20,0.20,--
2023/6/25 14:45,77.4,62,85.5,48,63.7,86.5,2.5,3.4,14,727.8,727.8,751.4,7,0.00,0.00,0.00,0.00,0.20,0.20,--
2023/6/25 14:50,77.5,64,86.2,47,63.7,87.3,0.9,1.1,58,727.7,727.7,249.8,2,0.00,0.00,0.00,0.00,0.20,0.20,--
2023/6/25 14:55,77.5,61,84.9,51,64.8,86.5,0.7,1.1,94,727.7,727.7,211.3,2,0.00,0.00,0.00,0.00,0.20,0.20,--
2023/6/25 15:00,77.7,60,84.9,52,65.5,86.7,0.2,1.1,75,727.6,727.6,317.0,3,0.00,0.00,0.00,0.00,0.20,0.20,--
2023/6/25 15:05,77.5,59,85.5,48,63.7,86.5,2.5,3.4,172,727.8,727.8,819.7,7,0.00,0.00,0.00,0.00,0.20,0.20,--
2023/6/25 15:10,77.5,60,86.2,49,64.9,88.0,2.5,3.4,43,727.6,727.6,291.1,2,0.00,0.00,0.00,0.00,0.20,0.20,--
2023/6/25 15:15,77.7,60,84.7,52,65.3,86.5,1.3,2.2,131,727.7,727.7,169.4,1,0.00,0.00,0.00,0.00,0.20,0.20,--
2023/6/25 15:20,77.7,58,83.3,53,64.4,84.7,1.3,2.2,223,727.9,727.9,183.3,1,0.00,0.00,0.00,0.00,0.20,0.20,--
2023/6/25 15:25,77.5,58,82.6,53,63.7,83.8,2.5,4.5,206,727.6,727.6,265.8,2,0.00,0.00,0.00,0.00,0.20,0.20,--
2023/6/25 15:30,77.7,61,83.1,54,64.8,84.7,0.4,1.1,41,727.5,727.5,315.0,3,0.00,0.00,0.00,0.00,0.20,0.20,--
2023/6/25 15:35,77.7,59,84.6,55,66.7,87.1,1.1,1.1,30,727.6,727.6,489.6,4,0.00,0.00,0.00,0.00,0.20,0.20,--
2023/6/25 15:40,77.7,58,84.9,50,64.2,86.4,1.6,2.2,255,727.6,727.6,417.2,4,0.00,0.00,0.00,0.00,0.20,0.20,--
2023/6/25 15:45,77.7,59,84.6,53,65.7,86.5,0.7,1.1,23,727.6,727.6,323.9,3,0.00,0.00,0.00,0.00,0.20,0.20,--
2023/6/25 15:50,77.7,61,83.7,54,65.3,85.6,1.3,2.2,149,727.4,727.4,138.1,1,0.00,0.00,0.00,0.00,0.20,0.20,--
2023/6/25 15:55,77.9,59,83.3,55,65.5,85.3,1.3,2.2,223,727.4,727.4,117.3,1,0.00,0.00,0.00,0.00,0.20,0.20,--
2023/6/25 16:00,77.9,58,82.2,59,66.6,84.6,0.7,1.1,76,727.3,727.3,157.4,1,0.00,0.00,0.00,0.00,0.20,0.20,--
2023/6/25 16:05,77.9,60,82.0,56,64.8,83.7,4.5,5.8,181,727.3,727.3,184.7,1,0.00,0.00,0.00,0.00,0.20,0.20,--
2023/6/25 16:10,77.9,62,82.0,55,64.4,83.5,0.7,1.1,95,727.1,727.1,152.4,1,0.00,0.00,0.00,0.00,0.20,0.20,--
2023/6/25 16:15,78.1,58,81.9,56,64.8,83.5,0.4,1.1,132,727.1,727.1,154.8,1,0.00,0.00,0.00,0.00,0.20,0.20,--
2023/6/25 16:20,77.9,58,81.9,59,66.2,84.0,0.7,1.1,148,727.0,727.0,190.2,1,0.00,0.00,0.00,0.00,0.20,0.20,--
2023/6/25 16:25,77.9,61,81.9,57,65.1,83.7,1.3,2.2,187,727.0,727.0,164.8,1,0.00,0.00,0.00,0.00,0.20,0.20,--
2023/6/25 16:30,78.1,60,82.0,60,66.9,84.4,1.1,1.1,169,727.1,727.1,151.3,1,0.00,0.00,0.00,0.00,0.20,0.20,--
2023/6/25 16:35,78.1,58,81.7,59,66.0,83.8,0.9,2.2,178,727.0,727.0,173.7,1,0.00,0.00,0.00,0.00,0.20,0.20,--
2023/6/25 16:40,77.9,60,81.5,60,66.4,83.7,3.4,4.5,220,727.0,727.0,295.2,2,0.00,0.00,0.00,0.00,0.20,0.20,--
