Time,Indoor Temperature(℉),Indoor Humidity(%),Outdoor Temperature(℉),Outdoor Humidity(%),Dew Point(℉),Feels Like(℉),Wind(mph),Gust(mph),Wind Direction(°),ABS Pressure(inhg),REL Pressure(inhg),Solar Rad.(w/m2),UVI,Hourly Rain(in),Event Rain(in),Daily Rain(in),Weekly Rain(in),Monthly Rain(in),Yearly Rain(in),Pm2.5(ug/m3)
2023/7/26 10:03,75.2,67,77.2,78,69.8,77.2,2.9,3.4,294,28.96,28.96,389.9,3,0.00,0.00,0.00,0.00,0.78,1.34,30
2023/7/26 10:04,75.2,67,77.2,77,69.4,77.2,2.0,3.4,352,28.96,28.96,393.2,3,0.00,0.00,0.00,0.00,0.78,1.34,30
2023/7/26 10:05,75.2,68,77.0,77,69.3,77.0,2.5,3.4,21,28.96,28.96,394.7,3,0.00,0.00,0.00,0.00,0.78,1.34,30
2023/7/26 10:06,75.4,68,76.8,76,68.7,76.8,2.5,3.4,349,28.95,28.95,396.1,3,0.00,0.00,0.00,0.00,0.78,1.34,31
2023/7/26 10:07,75.4,68,77.0,77,69.3,77.0,1.1,1.1,35,28.96,28.96,401.5,3,0.00,0.00,0.00,0.00,0.78,1.34,31
2023/7/26 10:08,75.4,68,77.0,77,69.3,77.0,4.0,4.5,237,28.96,28.96,403.5,3,0.00,0.00,0.00,0.00,0.78,1.34,31
2023/7/26 10:09,75.4,68,77.0,74,68.2,77.0,5.8,8.1,244,28.95,28.95,407.7,3,0.00,0.00,0.00,0.00,0.78,1.34,31
2023/7/26 10:10,75.6,68,77.0,75,68.5,77.0,2.7,3.4,27,28.96,28.96,410.3,3,0.00,0.00,0.00,0.00,0.78,1.34,31
2023/7/26 10:11,75.6,67,76.8,76,68.7,76.8,3.1,4.5,19,28.96,28.96,409.7,3,0.00,0.00,0.00,0.00,0.78,1.34,31
2023/7/26 10:12,75.6,65,76.8,76,68.7,76.8,1.8,2.2,342,28.96,28.96,408.2,3,0.00,0.00,0.00,0.00,0.78,1.34,31
2023/7/26 10:13,75.6,64,76.8,76,68.7,76.8,2.5,3.4,340,28.96,28.96,413.6,4,0.00,0.00,0.00,0.00,0.78,1.34,31
2023/7/26 10:14,75.6,64,77.2,79,70.2,77.2,0.2,1.1,43,28.96,28.96,413.5,4,0.00,0.00,0.00,0.00,0.78,1.34,31
2023/7/26 10:15,75.6,64,77.4,76,69.3,77.4,0.9,1.1,357,28.97,28.97,413.9,4,0.00,0.00,0.00,0.00,0.78,1.34,31
2023/7/26 10:16,75.6,64,77.5,77,69.8,77.5,2.5,3.4,29,28.96,28.96,416.1,4,0.00,0.00,0.00,0.00,0.78,1.34,31
2023/7/26 10:17,75.6,64,77.7,76,69.6,77.7,0.9,1.1,79,28.96,28.96,413.5,4,0.00,0.00,0.00,0.00,0.78,1.34,31
2023/7/26 10:18,75.6,63,77.7,74,68.9,77.7,1.3,2.2,55,28.95,28.95,418.9,4,0.00,0.00,0.00,0.00,0.78,1.34,31
2023/7/26 10:19,75.4,63,78.1,74,69.1,78.1,3.8,4.5,164,28.96,28.96,423.2,4,0.00,0.00,0.00,0.00,0.78,1.34,31
