Time,Indoor Temperature(℉),Indoor Humidity(%),Outdoor Temperature(℉),Outdoor Humidity(%),Dew Point(℉),Feels Like(℉),Wind(mph),Gust(mph),Wind Direction(°),ABS Pressure(mmhg),REL Pressure(mmhg),Solar Rad.(w/m2),UVI,Hourly Rain(in),Event Rain(in),Daily Rain(in),Weekly Rain(in),Monthly Rain(in),Yearly Rain(in),Pm2.5(ug/m3)
2023/6/22 11:10,74.5,57,63.5,76,55.8,63.5,1.8,2.2,60,735.9,735.9,210.6,2,0.00,0.00,0.00,0.01,0.01,0.01,--
2023/6/22 11:15,74.3,56,63.3,77,55.9,63.3,2.9,3.4,25,735.9,735.9,209.7,2,0.00,0.00,0.00,0.01,0.01,0.01,--
2023/6/22 11:20,73.9,60,62.6,79,56.1,62.6,0.7,1.1,81,735.8,735.8,115.4,1,0.00,0.00,0.00,0.01,0.01,0.01,--
2023/6/22 11:25,74.1,61,62.4,78,55.6,62.4,1.8,2.2,43,735.7,735.7,72.1,0,0.00,0.00,0.00,0.01,0.01,0.01,--
2023/6/22 11:30,74.1,59,62.2,78,55.4,62.2,1.3,2.2,90,735.8,735.8,126.0,1,0.00,0.00,0.00,0.01,0.01,0.01,--
2023/6/22 11:35,73.9,61,62.6,78,55.8,62.6,2.0,3.4,60,735.7,735.7,178.5,1,0.00,0.00,0.00,0.01,0.01,0.01,--
2023/6/22 11:40,73.9,62,62.8,78,55.9,62.8,1.8,3.4,78,735.7,735.7,130.4,1,0.00,0.00,0.00,0.01,0.01,0.01,--
2023/6/22 11:45,74.1,61,62.8,78,55.9,62.8,1.8,2.2,70,735.7,735.7,128.9,1,0.00,0.00,0.00,0.01,0.01,0.01,--
2023/6/22 11:50,74.3,59,63.0,77,55.6,63.0,1.3,2.2,69,735.7,735.7,141.4,1,0.00,0.00,0.00,0.01,0.01,0.01,--
2023/6/22 11:55,74.1,61,63.0,77,55.6,63.0,2.2,2.2,86,735.5,735.5,125.3,1,0.00,0.00,0.00,0.01,0.01,0.01,--
2023/6/22 12:00,74.1,62,63.0,77,55.6,63.0,2.0,2.2,60,735.7,735.7,107.3,1,0.00,0.00,0.00,0.01,0.01,0.01,--
2023/6/22 12:05,74.1,59,62.8,77,55.4,62.8,2.5,3.4,45,735.5,735.5,122.2,1,0.00,0.00,0.00,0.01,0.01,0.01,--
2023/6/22 12:10,74.3,59,63.1,77,55.8,63.1,0.9,1.1,68,735.4,735.4,164.7,1,0.00,0.00,0.00,0.01,0.01,0.01,--
2023/6/22 12:15,74.3,60,63.7,75,55.6,63.7,1.3,2.2,83,735.4,735.4,296.6,2,0.00,0.00,0.00,0.01,0.01,0.01,--
2023/6/22 12:20,74.3,61,64.8,74,56.3,64.8,0.2,1.1,58,735.5,735.5,480.4,4,0.00,0.00,0.00,0.01,0.01,0.01,--
2023/6/22 12:25,74.3,60,66.7,69,56.3,66.7,3.6,5.8,50,735.4,735.4,606.3,5,0.00,0.00,0.00,0.01,0.01,0.01,--
2023/6/22 12:30,74.3,59,66.9,68,55.9,66.9,3.4,4.5,73,735.4,735.4,546.1,5,0.00,0.00,0.00,0.01,0.01,0.01,--
2023/6/22 12:35,74.1,61,66.9,69,56.5,66.9,4.5,6.9,79,735.3,735.3,290.0,2,0.00,0.00,0.00,0.01,0.01,0.01,--
2023/6/22 12:40,74.1,63,66.6,69,56.1,66.6,0.7,2.2,42,735.4,735.4,377.8,3,0.00,0.00,0.00,0.01,0.01,0.01,--
2023/6/22 12:45,74.1,64,67.6,68,56.7,67.6,1.8,2.2,97,735.4,735.4,314.5,3,0.00,0.00,0.00,0.01,0.01,0.01,--
2023/6/22 12:50,74.3,62,66.6,70,56.5,66.6,1.1,1.1,71,735.4,735.4,291.7,2,0.00,0.00,0.00,0.01,0.01,0.01,--
2023/6/22 12:55,74.1,64,66.7,70,56.7,66.7,3.4,4.5,60,735.4,735.4,381.2,3,0.00,0.00,0.00,0.01,0.01,0.01,--
2023/6/22 13:00,74.3,65,66.2,69,55.8,66.2,1.3,2.2,46,735.1,735.1,315.5,3,0.00,0.00,0.00,0.01,0.01,0.01,--
2023/6/22 13:05,74.3,64,66.6,70,56.5,66.6,2.5,3.4,50,735.0,735.0,317.4,3,0.00,0.00,0.00,0.01,0.01,0.01,--
2023/6/22 13:10,74.5,63,66.7,69,56.3,66.7,4.0,5.8,86,735.1,735.1,220.8,2,0.00,0.00,0.00,0.01,0.01,0.01,--
2023/6/22 13:15,74.3,64,66.2,70,56.1,66.2,1.3,2.2,63,734.8,734.8,184.6,1,0.00,0.00,0.00,0.01,0.01,0.01,--
2023/6/22 13:20,74.3,64,66.4,70,56.3,66.4,2.9,4.5,38,734.9,734.9,184.1,1,0.00,0.00,0.00,0.01,0.01,0.01,--
2023/6/22 13:25,74.5,63,65.7,70,55.6,65.7,1.8,3.4,138,734.8,734.8,305.5,2,0.00,0.00,0.00,0.01,0.01,0.01,--
2023/6/22 13:30,74.7,62,66.7,70,56.7,66.7,2.9,4.5,100,734.8,734.8,219.4,2,0.00,0.00,0.00,0.01,0.01,0.01,--
2023/6/22 13:35,74.5,64,66.7,71,57.0,66.7,0.9,2.2,74,734.8,734.8,202.2,1,0.00,0.00,0.00,0.01,0.01,0.01,--
2023/6/22 13:40,74.5,64,66.6,71,56.8,66.6,1.8,2.2,90,734.9,734.9,343.4,3,0.00,0.00,0.00,0.01,0.01,0.01,--
2023/6/22 13:45,74.5,63,67.5,70,57.4,67.5,2.9,4.5,98,734.8,734.8,360.0,3,0.00,0.00,0.00,0.01,0.01,0.01,--
2023/6/22 13:50,74.7,61,67.6,68,56.7,67.6,2.2,3.4,77,734.6,734.6,603.3,5,0.00,0.00,0.00,0.01,0.01,0.01,--
2023/6/22 13:55,74.5,63,68.0,67,56.7,68.0,3.6,4.5,97,734.7,734.7,417.8,4,0.00,0.00,0.00,0.01,0.01,0.01,--
2023/6/22 14:00,74.5,64,67.5,68,56.5,67.5,1.3,2.2,58,734.5,734.5,227.5,2,0.00,0.00,0.00,0.01,0.01,0.01,--
2023/6/22 14:05,74.7,63,66.7,70,56.7,66.7,2.5,3.4,83,734.5,734.5,314.3,3,0.00,0.00,0.00,0.01,0.01,0.01,--
2023/6/22 14:10,74.7,61,67.3,70,57.2,67.3,0.7,1.1,61,734.5,734.5,369.7,3,0.00,0.00,0.00,0.01,0.01,0.01,--
2023/6/22 14:15,74.5,62,67.5,69,57.0,67.5,2.5,3.4,88,734.5,734.5,334.6,3,0.00,0.00,0.00,0.01,0.01,0.01,--
2023/6/22 14:20,74.5,63,67.6,69,57.2,67.6,2.2,2.2,57,734.6,734.6,288.2,2,0.00,0.00,0.00,0.01,0.01,0.01,--
2023/6/22 14:25,74.7,62,67.8,68,56.8,67.8,3.4,4.5,76,734.5,734.5,396.7,3,0.00,0.00,0.00,0.01,0.01,0.01,--
2023/6/22 14:30,74.7,60,68.0,68,57.0,68.0,2.0,2.2,61,734.2,734.2,473.2,4,0.00,0.00,0.00,0.01,0.01,0.01,--
2023/6/22 14:35,74.5,61,68.0,69,57.6,68.0,2.2,2.2,80,734.5,734.5,442.3,4,0.00,0.00,0.00,0.01,0.01,0.01,--
2023/6/22 14:40,74.7,62,68.5,65,56.3,68.5,2.5,3.4,61,734.4,734.4,441.2,4,0.00,0.00,0.00,0.01,0.01,0.01,--
2023/6/22 14:45,74.7,60,68.2,70,58.1,68.2,2.5,3.4,36,734.2,734.2,367.2,3,0.00,0.00,0.00,0.01,0.01,0.01,--
2023/6/22 14:50,74.7,58,68.4,68,57.4,68.4,3.1,4.5,69,734.3,734.3,344.3,3,0.00,0.00,0.00,0.01,0.01,0.01,--
2023/6/22 14:55,74.5,61,68.7,67,57.4,68.7,2.9,4.5,79,734.3,734.3,380.5,3,0.00,0.00,0.00,0.01,0.01,0.01,--
2023/6/22 15:00,74.5,61,68.7,70,58.6,68.7,2.0,3.4,82,734.2,734.2,315.0,3,0.00,0.00,0.00,0.01,0.01,0.01,--
2023/6/22 15:05,74.5,61,68.5,67,57.2,68.5,3.8,4.5,97,734.2,734.2,497.0,4,0.00,0.00,0.00,0.01,0.01,0.01,--
2023/6/22 15:10,74.7,58,68.7,68,57.7,68.7,2.9,3.4,78,734.2,734.2,461.6,4,0.00,0.00,0.00,0.01,0.01,0.01,--
2023/6/22 15:15,74.5,60,69.6,66,57.7,69.6,1.6,2.2,66,733.9,733.9,393.5,3,0.00,0.00,0.00,0.01,0.01,0.01,--
