Time,Indoor Temperature(℉),Indoor Humidity(%),Outdoor Temperature(℉),Outdoor Humidity(%),Dew Point(℉),Feels Like(℉),Wind(mph),Gust(mph),Wind Direction(°),ABS Pressure(inhg),REL Pressure(inhg),Solar Rad.(w/m2),UVI,Hourly Rain(in),Event Rain(in),Daily Rain(in),Weekly Rain(in),Monthly Rain(in),Yearly Rain(in),Pm2.5(ug/m3)
2023/6/29 13:20,75.9,65,78.3,59,62.8,78.3,2.7,3.4,271,28.91,28.91,688.7,6,0.00,0.00,0.00,0.36,0.56,0.56,234
2023/6/29 13:30,75.7,64,78.6,63,64.9,78.6,0.9,2.2,157,28.89,28.89,672.8,6,0.00,0.00,0.00,0.36,0.56,0.56,185
2023/6/29 13:40,75.9,65,78.4,58,62.4,78.4,1.3,2.2,179,28.89,28.89,668.2,6,0.00,0.00,0.00,0.36,0.56,0.56,178
2023/6/29 13:50,75.7,64,78.6,57,62.2,78.6,0.9,1.1,196,28.89,28.89,729.0,7,0.00,0.00,0.00,0.36,0.56,0.56,178
2023/6/29 14:00,76.1,67,79.3,56,62.2,79.3,0.9,2.2,73,28.89,28.89,643.1,6,0.00,0.00,0.00,0.36,0.56,0.56,166
2023/6/29 14:10,75.9,64,79.9,53,61.3,79.9,4.5,5.8,244,28.89,28.89,487.3,4,0.00,0.00,0.00,0.36,0.56,0.56,177
2023/6/29 14:20,76.3,67,79.2,58,63.1,79.2,1.8,3.4,319,28.89,28.89,734.5,7,0.00,0.00,0.00,0.36,0.56,0.56,165
2023/6/29 14:25,76.3,64,79.7,58,63.7,79.7,0.7,1.1,173,28.89,28.89,322.3,3,0.00,0.00,0.00,0.36,0.56,0.56,165
2023/6/29 14:26,76.5,63,79.5,58,63.5,79.5,1.6,2.2,162,28.89,28.89,322.0,3,0.00,0.00,0.00,0.36,0.56,0.56,165
2023/6/29 14:27,76.3,63,79.5,57,63.0,79.5,0.2,1.1,129,28.89,28.89,288.5,2,0.00,0.00,0.00,0.36,0.56,0.56,175
2023/6/29 14:28,76.3,63,79.3,57,62.8,79.3,2.2,2.2,100,28.89,28.89,271.5,2,0.00,0.00,0.00,0.36,0.56,0.56,175
2023/6/29 14:29,76.3,64,79.3,57,62.8,79.3,1.1,2.2,42,28.89,28.89,262.4,2,0.00,0.00,0.00,0.36,0.56,0.56,175
2023/6/29 14:30,76.3,65,78.8,57,62.4,78.8,0.2,1.1,72,28.89,28.89,254.8,2,0.00,0.00,0.00,0.36,0.56,0.56,175
2023/6/29 14:31,76.3,66,78.6,56,61.7,78.6,1.1,1.1,202,28.88,28.88,251.8,2,0.00,0.00,0.00,0.36,0.56,0.56,175
2023/6/29 14:32,76.3,66,78.6,58,62.6,78.6,0.0,0.0,195,28.88,28.88,251.7,2,0.00,0.00,0.00,0.36,0.56,0.56,175
2023/6/29 14:33,76.3,66,78.6,57,62.2,78.6,0.9,1.1,193,28.87,28.87,252.4,2,0.00,0.00,0.00,0.36,0.56,0.56,175
2023/6/29 14:34,76.5,67,78.4,57,62.1,78.4,1.1,2.2,30,28.87,28.87,257.6,2,0.00,0.00,0.00,0.36,0.56,0.56,175
2023/6/29 14:35,76.5,67,78.4,58,62.4,78.4,1.6,2.2,79,28.88,28.88,261.4,2,0.00,0.00,0.00,0.36,0.56,0.56,175
2023/6/29 14:36,76.5,67,78.3,58,62.2,78.3,1.1,1.1,63,28.87,28.87,268.5,2,0.00,0.00,0.00,0.36,0.56,0.56,175
2023/6/29 14:37,76.5,67,78.1,59,62.6,78.1,2.2,3.4,28,28.88,28.88,285.3,2,0.00,0.00,0.00,0.36,0.56,0.56,174
2023/6/29 14:38,76.5,67,78.1,59,62.6,78.1,1.3,2.2,46,28.87,28.87,349.3,3,0.00,0.00,0.00,0.36,0.56,0.56,174
2023/6/29 14:39,76.5,67,77.7,63,64.2,77.7,2.2,3.4,114,28.87,28.87,467.7,4,0.00,0.00,0.00,0.36,0.56,0.56,174
2023/6/29 14:40,76.5,67,77.7,58,61.9,77.7,2.5,3.4,109,28.87,28.87,604.8,5,0.00,0.00,0.00,0.36,0.56,0.56,174
2023/6/29 14:41,76.6,67,77.7,58,61.9,77.7,2.2,2.2,106,28.87,28.87,656.2,6,0.00,0.00,0.00,0.36,0.56,0.56,174
2023/6/29 14:42,76.6,67,77.9,57,61.5,77.9,0.7,2.2,148,28.87,28.87,496.0,4,0.00,0.00,0.00,0.36,0.56,0.56,174
2023/6/29 14:43,76.6,66,78.3,58,62.2,78.3,0.7,1.1,87,28.87,28.87,682.1,6,0.00,0.00,0.00,0.36,0.56,0.56,174
2023/6/29 14:44,76.6,64,78.4,62,64.4,78.4,2.0,2.2,2,28.87,28.87,696.1,6,0.00,0.00,0.00,0.36,0.56,0.56,174
2023/6/29 14:45,76.6,64,79.0,58,63.0,79.0,1.1,1.1,77,28.88,28.88,736.0,7,0.00,0.00,0.00,0.36,0.56,0.56,174
2023/6/29 14:46,76.6,63,79.2,57,62.6,79.2,0.2,1.1,137,28.87,28.87,737.5,7,0.00,0.00,0.00,0.36,0.56,0.56,174
2023/6/29 14:47,76.5,62,79.9,55,62.2,79.9,1.3,2.2,29,28.88,28.88,712.0,6,0.00,0.00,0.00,0.36,0.56,0.56,167
2023/6/29 14:48,76.5,62,80.4,54,62.2,81.7,3.6,5.8,21,28.88,28.88,592.4,5,0.00,0.00,0.00,0.36,0.56,0.56,167
2023/6/29 14:49,76.5,62,80.4,51,60.6,81.1,2.5,3.4,114,28.88,28.88,686.6,6,0.00,0.00,0.00,0.36,0.56,0.56,167
2023/6/29 14:50,76.5,64,80.2,52,61.2,81.1,1.8,3.4,101,28.87,28.87,677.7,6,0.00,0.00,0.00,0.36,0.56,0.56,167
2023/6/29 14:51,76.5,65,80.2,52,61.2,81.1,1.6,2.2,92,28.87,28.87,668.4,6,0.00,0.00,0.00,0.36,0.56,0.56,167
2023/6/29 14:52,76.5,65,80.2,52,61.2,81.1,1.1,2.2,49,28.88,28.88,639.4,6,0.00,0.00,0.00,0.36,0.56,0.56,167
2023/6/29 14:53,76.5,66,80.2,53,61.5,81.1,0.9,1.1,137,28.88,28.88,636.1,6,0.00,0.00,0.00,0.36,0.56,0.56,167
2023/6/29 14:54,76.5,66,80.2,60,65.1,82.0,0.2,1.1,69,28.88,28.88,637.9,6,0.00,0.00,0.00,0.36,0.56,0.56,167
2023/6/29 14:55,76.5,66,80.8,52,61.5,81.7,1.3,2.2,156,28.88,28.88,639.7,6,0.00,0.00,0.00,0.36,0.56,0.56,167
2023/6/29 14:56,76.6,66,81.0,53,62.2,82.0,0.4,1.1,153,28.89,28.89,654.0,6,0.00,0.00,0.00,0.36,0.56,0.56,167
2023/6/29 14:57,76.6,66,81.3,51,61.5,82.0,0.7,2.2,55,28.88,28.88,656.1,6,0.00,0.00,0.00,0.36,0.56,0.56,154
2023/6/29 14:58,76.6,66,81.3,51,61.5,82.0,3.4,4.5,51,28.88,28.88,635.6,6,0.00,0.00,0.00,0.36,0.56,0.56,154
2023/6/29 14:59,76.6,65,81.0,51,61.2,81.9,0.2,1.1,55,28.89,28.89,635.8,6,0.00,0.00,0.00,0.36,0.56,0.56,154
2023/6/29 15:00,76.6,64,81.0,51,61.2,81.9,1.1,1.1,55,28.88,28.88,649.1,6,0.00,0.00,0.00,0.36,0.56,0.56,154
2023/6/29 15:01,76.6,63,81.0,49,60.1,81.7,0.4,1.1,272,28.88,28.88,642.8,6,0.00,0.00,0.00,0.36,0.56,0.56,154
2023/6/29 15:02,76.6,63,81.1,50,60.8,81.9,1.6,3.4,136,28.88,28.88,630.7,6,0.00,0.00,0.00,0.36,0.56,0.56,154
2023/6/29 15:03,76.5,62,81.1,48,59.7,81.5,1.3,2.2,29,28.89,28.89,625.5,6,0.00,0.00,0.00,0.36,0.56,0.56,154
2023/6/29 15:04,76.5,62,81.0,48,59.5,81.5,1.8,3.4,53,28.88,28.88,614.4,5,0.00,0.00,0.00,0.36,0.56,0.56,154
2023/6/29 15:05,76.5,62,81.0,54,62.8,82.2,0.7,1.1,81,28.89,28.89,637.6,6,0.00,0.00,0.00,0.36,0.56,0.56,154
2023/6/29 15:06,76.3,62,81.1,49,60.3,81.7,2.7,3.4,279,28.89,28.89,638.7,6,0.00,0.00,0.00,0.36,0.56,0.56,154
2023/6/29 15:07,76.3,62,81.1,52,61.9,82.0,1.1,1.1,320,28.88,28.88,638.7,6,0.00,0.00,0.00,0.36,0.56,0.56,156
2023/6/29 15:08,76.3,62,81.3,56,64.2,82.8,4.3,5.8,175,28.88,28.88,645.4,6,0.00,0.00,0.00,0.36,0.56,0.56,156
2023/6/29 15:09,76.3,64,81.1,50,60.8,81.9,2.2,3.4,355,28.88,28.88,656.2,6,0.00,0.00,0.00,0.36,0.56,0.56,156
2023/6/29 15:10,76.3,65,81.0,51,61.2,81.9,1.1,1.1,29,28.88,28.88,624.5,6,0.00,0.00,0.00,0.36,0.56,0.56,156
2023/6/29 15:11,76.3,65,80.6,54,62.4,81.9,0.9,1.1,51,28.88,28.88,619.0,6,0.00,0.00,0.00,0.36,0.56,0.56,156
2023/6/29 15:12,76.3,65,80.6,53,61.9,81.7,2.2,4.5,116,28.88,28.88,611.1,5,0.00,0.00,0.00,0.36,0.56,0.56,156
2023/6/29 15:13,76.5,66,80.6,52,61.3,81.5,0.0,0.0,125,28.88,28.88,611.8,5,0.00,0.00,0.00,0.36,0.56,0.56,156
2023/6/29 15:14,76.5,66,81.3,54,63.1,82.6,1.1,1.1,125,28.88,28.88,590.8,5,0.00,0.00,0.00,0.36,0.56,0.56,156
2023/6/29 15:15,76.5,66,82.0,53,63.3,83.1,0.9,1.1,125,28.87,28.87,583.9,5,0.00,0.00,0.00,0.36,0.56,0.56,156
2023/6/29 15:16,76.6,64,82.4,53,63.7,83.7,0.7,1.1,126,28.87,28.87,602.4,5,0.00,0.00,0.00,0.36,0.56,0.56,156
2023/6/29 15:17,76.6,63,82.4,51,62.6,83.3,0.2,1.1,126,28.88,28.88,606.8,5,0.00,0.00,0.00,0.36,0.56,0.56,147
2023/6/29 15:18,76.6,63,82.6,49,61.5,83.1,1.1,1.1,111,28.87,28.87,602.1,5,0.00,0.00,0.00,0.36,0.56,0.56,147
2023/6/29 15:19,76.6,63,82.8,53,63.9,84.2,0.7,1.1,44,28.87,28.87,595.8,5,0.00,0.00,0.00,0.36,0.56,0.56,147
2023/6/29 15:20,76.5,62,82.8,49,61.7,83.5,4.0,5.8,145,28.87,28.87,589.1,5,0.00,0.00,0.00,0.36,0.56,0.56,147
